Veracruz,Puebla,Chiapas,Oaxaca,Guerrero,Otro (especifique),Municipio,Nombre de localidad más cercana a la finca,Arábica,Robusta,Precio mínimo por Kilo de fruto o cereza convencional,Precio mínimo por Kilo de pergamino lavado convencional,Precio mínimo por Kilo de natural convencional,"Precio mínimo por Kilo de verde, oro, morteado convencional",Precio máximo por Kilo de fruto o cereza convencional,Precio máximo por Kilo de pergamino lavado convencional,Precio máximo por Kilo de natural convencional,"Precio máximo por Kilo de verde, oro, morteado convencional",Precio mínimo por Kilo de pergamino lavado especial,Precio mínimo por Kilo de pergamino honey especial,Precio mínimo por Kilo de pergamino semilavado especial,Precio mínimo por Kilo de natural especial,"Precio mínimo por Kilo de café verde, oro, morteado especial",Precio máximo por Kilo de Pergamino lavado especial,Precio máximo por Kilo de pergamino honey especial,Precio máximo por Kilo de pergamino semilavado especial,Precio máximo por Kilo de natural especial,"Precio máximo por Kilo de café verde, oro o morteado especial"
,,Chiapas,,,,Cacahotán,2 de mayo,,Robusta,60.0,,,,63.0,,,,,,,,,,,,,
,,Chiapas,,,,Cacahotán,ND,,Robusta,50.0,,,,60.0,,,,,,,,,,,,,
,,Chiapas,,,,Cacahotán,Puente Colorado,,Robusta,42.0,,,,50.0,,,,,,,,,,,,,
,,Chiapas,,,,Cacahotán,2 de mayo,Arábica,,16.0,,38.0,,24.0,,60.0,,,,,,,,,,,
,,Chiapas,,,,Tuxtla Chico,Sección la Toma,,Robusta,50.0,,,,50.0,,,,,,,,,,,,,
,,Chiapas,,,,Cacahotán,2 de mayo,,Robusta,16.0,,38.0,,24.0,,65.0,,,,,,,,,,,
,,Chiapas,,,,Cacahotán,Ejido Mixcum,,Robusta,26.0,,,,40.0,,,,,,,,,,,,,
Veracruz,,,,,,Tlacotepec de Mejia,Amatitla,,,6.0,,,,20.0,,,,20.0,,,,,20.0,,,,
Veracruz,,,,,,Tlacotepec de Mejía.veracruz,Tlacotepec de Mejía ,,,20.0,,15.0,,25.0,20.0,,,15.0,18.0,15.0,20.0,25.0,15.0,15.0,15.0,20.0,20.0
Veracruz,,,,,,Tlacotepec de Mejia Veracruz,Tlacotepec ,,,,,14.0,,,,22.0,,,,,,,,,,,
Veracruz,,,,,,Coatepec,Emiliano Zapata,,,17.0,90.0,42.0,,21.0,100.0,50.0,,120.0,200.0,140.0,50.0,140.0,135.0,210.0,150.0,55.0,150.0
Veracruz,,,,,,Coatepec,Emiliano Zapata,,,17.0,90.0,42.0,,21.0,100.0,50.0,,120.0,200.0,140.0,50.0,140.0,135.0,210.0,150.0,55.0,150.0
,Puebla,,,,,Xicotepec,Las pilas,,,13.0,95.0,38.0,,20.0,100.0,45.0,,135.0,180.0,145.0,50.0,140.0,145.0,200.0,150.0,60.0,150.0
Veracruz,,,,,,Coatepec,Emiliano Zapata,,,17.0,90.0,42.0,,21.0,100.0,50.0,,120.0,200.0,140.0,50.0,140.0,135.0,210.0,150.0,55.0,150.0
Veracruz,,,,,,Coatepec,Emiliano Zapata,,,17.0,90.0,42.0,,21.0,100.0,50.0,,120.0,200.0,140.0,50.0,140.0,135.0,210.0,150.0,55.0,150.0
Veracruz,,,,,,Xico,Ejido Chapulapa,,,10.0,,,,22.0,,,,,,,,190.0,,,,,220.0
Veracruz,,,,,,Coatepec,Col. Cuauhtemoc,,,6.0,,,,22.0,,,,,,,,,,,,,
Veracruz,,,,,,XICO,SAN MARCOS DE LEÓN,,,12.0,85.0,115.0,,22.0,95.0,130.0,,135.0,135.0,135.0,230.0,230.0,140.0,155.0,140.0,250.0,250.0
,Puebla,,,,,Jalpan,Apapántilla,,,17.0,85.0,80.0,,18.0,115.0,90.0,,230.0,180.0,150.0,220.0,270.0,250.0,200.0,170.0,250.0,300.0
,Puebla,,,,,Jopala,Chicontla,,,16.0,65.0,50.0,,20.0,107.0,55.0,,130.0,150.0,,280.0,230.0,150.0,160.0,,300.0,250.0
,Puebla,,,,,Xicotepec,Las pilas,,,6.0,35.0,17.0,,17.0,96.0,40.0,,,140.0,,50.0,120.0,,110.0,,80.0,120.0
,Puebla,,,,,MUNICIPIO DE JUAREZ,LAS PILAS,,,6.0,35.0,17.0,,17.0,96.0,40.0,,,140.0,,50.0,120.0,,110.0,,80.0,120.0
,Puebla,,,,,Zongozotla,Zongozotla,,,15.0,92.0,,,18.0,108.0,,,130.0,200.0,150.0,180.0,200.0,180.0,250.0,230.0,250.0,250.0
,Puebla,,,,,Huehuetlán el Grande,Kuwik chuchut,,,20.0,85.0,50.0,,30.0,100.0,100.0,,115.0,150.0,150.0,200.0,250.0,130.0,200.0,200.0,230.0,300.0
,,Chiapas,,,,Monte cristo de guerrero,Angel albino corzo,,,,92.0,,,,92.0,,,,,,120.0,110.0,,,,120.0,135.0
,,Chiapas,,,,La concordia,La concordia,,,,90.0,,,,100.0,,,,,150.0,,,,,170.0,,
Veracruz,,,,,,Coatepec,Prolongación Altamirano,,,22.0,72.0,64.0,,25.0,80.0,70.0,,190.0,160.0,160.0,300.0,490.0,230.0,200.0,200.0,400.0,800.0
,,Chiapas,,,,Cruz del Rosario ,Cruz del Rosario ,,,,120.0,,,,135.0,,,150.0,,,,,185.0,,,,
,,Chiapas,,,,San Cristobal de las Casas ,San Crsitobal de las Casas ,,,,,290.0,,,,300.0,,,,,700.0,370.0,,,,750.0,390.0
,,Chiapas,,,,Las Margaritas,Las Margaritas,,,,,110.0,,,,140.0,,,,,145.0,,,,,170.0,
,,Chiapas,,,,Las Margaritas,Las Margaritas,,,,,110.0,,,,140.0,,,,,145.0,,,,,170.0,
Veracruz,,,,,,Jilotepec,San Juan,,,10.0,3600.0,,,17.0,4900.0,,,,,,,28.0,,,,25.0,
Veracruz,,,,,,Coatepec,Zimpizahua,,,11.0,0.0,0.0,,18.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,Chiapas,,,,TENEJAPA ,Chana,,,,70.0,,,,105.0,,,,,,,,,,,,
Veracruz,,,,,,Totutla,Mirador ,,,15.0,98.0,25.0,,21.0,,32.0,,115.0,123.0,116.0,30.0,140.0,127.0,132.0,125.0,38.0,160.0
,,Chiapas,,,,Chilon,Bachajon ,,,,50.0,50.0,,,60.0,60.0,,,,,,,,,,,
Veracruz,,,,,,Ixhuatlán del Café,Ixcatla,,,15.0,,45.0,,22.0,,,,,,,,,,231.0,,,
Veracruz,,,,,,Calaquioco chocaman ver ,Calaquioco ,,,18.0,18.0,18.0,,21.0,21.0,21.0,,15.0,15.0,15.0,15.0,15.0,22.0,22.0,22.0,22.0,22.0
Veracruz,,,,,,Huatusco ,Tepetzingo,,,12.0,50.0,45.0,,25.0,115.0,110.0,,150.0,180.0,180.0,150.0,190.0,195.0,230.0,240.0,195.0,290.0
